Akureyri Airport,아쿠레이리 공항,AEY,BIAR,유럽,Atlantic/Reykjavik,Iceland,아이슬란드,Akureyri,65.66000366,-18.0727005
Egilsstadir Airport,에질스타더 공항,EGS,BIEG,유럽,Atlantic/Reykjavik,Iceland,아이슬란드,EgilsstaSir,65.28330231,-14.40139961
Hornafjordur Airport,호나표드르 공항,HFN,BIHN,유럽,Atlantic/Reykjavik,Iceland,아이슬란드,Hofn,64.295601,-15.2272
Husavik Airport,후자빅 공항,HZK,BIHU,유럽,Atlantic/Reykjavik,Iceland,아이슬란드,Husavik,65.952301,-17.426001
Isafjordur Airport,이사표도르 공항,IFJ,BIIS,유럽,Atlantic/Reykjavik,Iceland,아이슬란드,Isafjordur,66.05809784,-23.13529968
Keflavik International Airport,케이플라비크 국제공항,KEF,BIKF,유럽,Atlantic/Reykjavik,Iceland,아이슬란드,Keflavik,63.98500061,-22.60560036
Reykjavik Airport,레이캬비크 공항,RKV,BIRK,유럽,Atlantic/Reykjavik,Iceland,아이슬란드,Reykjavik,64.12999725,-21.94059944
Vestmannaeyjar Airport,베스트만네이야 공항,VEY,BIVM,유럽,Atlantic/Reykjavik,Iceland,아이슬란드,Vestmannaeyjar,63.42430115,-20.27890015
Nanaimo Airport,너나이모 공항,YCD,CYCD,북미,America/Vancouver,Canada,캐나다,Nanaimo BC,49.05497022,-123.8698626
Deer Lake Regional Airport,디어 레이크 지역 공항,YDF,CYDF,북미,America/St_Johns,Canada,캐나다,Deer Lake NF,49.21080017,-57.39139938
Edmonton International Airport,에드먼턴 국제공항,YEG,CYEG,북미,America/Edmonton,Canada,캐나다,Edmonton AB,53.30970001,-113.5800018
Greater Frederiction Airport,프레데릭튼 공항,YFC,CYFC,북미,America/Halifax,Canada,캐나다,Fredericton NB,45.8689003,-66.53720093
John C. Munro Hamilton International Airport,존 C. 먼론 해밀턴 공항,YHM,CYHM,북미,America/Toronto,Canada,캐나다,Hamilton ON,43.17359924,-79.93499756
Halifax Robert L. Stanfield International Airport,핼리팩스 로버트 스탠필드 국제공항,YHZ,CYHZ,북미,America/Halifax,Canada,캐나다,Halifax NS,44.88079834,-63.50859833
Kamloops Airport,캄룹스 공항,YKA,CYKA,북미,America/Vancouver,Canada,캐나다,Kamloops BC,50.70220184,-120.4440002
Kelowna,켈로너,YLW,CYLW,북미,America/Vancouver,Canada,캐나다,Kelowna BC,49.95610046,-119.3779984
Fort McMurray Airport,포트맥머레이 공항,YMM,CYMM,북미,America/Edmonton,Canada,캐나다,Fort McMurray AB,56.65330124,-111.2220001
Montreal-Mirabel International Airport,미라벨 공항,YMX,CYMX,북미,America/Toronto,Canada,캐나다,Montreal QC,45.679501,-74.038696
Ottawa Macdonald-Cartier International Airport,오타와 맥도날 카티어 국제공항,YOW,CYOW,북미,America/Toronto,Canada,캐나다,Ottawa ON,45.32249832,-75.66919708
Quebec city / Jean Lesage International Airport,퀘벡 시티 장 레사지 국제공항,YQB,CYQB,북미,America/Toronto,Canada,캐나다,Quebec QC,46.7911,-71.393303
Greater Moncton International Airport,그레이터 몽튼 국제공항,YQM,CYQM,북미,America/Halifax,Canada,캐나다,Moncton NB,46.11220169,-64.6785965
Comox Airport,코목스 공항,YQQ,CYQQ,북미,America/Vancouver,Canada,캐나다,Comox BC,49.71080017,-124.887001
Regina International Airport,레지나 국제공항,YQR,CYQR,북미,America/Regina,Canada,캐나다,Regina SK,50.43190002,-104.6660004
Gander International Airport,갠더 국제공항,YQX,CYQX,북미,America/St_Johns,Canada,캐나다,Gander NF,48.93690109,-54.56809998
Saint John Airport,세인트존 공항,YSJ,CYSJ,북미,America/Halifax,Canada,캐나다,St John NB,45.31610107,-65.89029694
Billy Bishop Toronto City Airport,빌리비숍 토론토 시티 공항,YTZ,CYTZ,북미,America/Toronto,Canada,캐나다,Toronto ON,43.627499,-79.396202
Montreal - Pierre Elliott Trudeau International Airport,몬트리얼 피에르 엘리엇 트루도 국제공항,YUL,CYUL,북미,America/Toronto,Canada,캐나다,Montreal QC,45.47060013,-73.74079895
Vancouver International Airport,밴쿠버 국제공항,YVR,CYVR,북미,America/Vancouver,Canada,캐나다,Vancouver BC,49.19390106,-123.1839981
Winnipeg James Armstrong Richardson International Airport,위니펙 제임스 암스트롱 리챠슨 국제공항,YWG,CYWG,북미,America/Winnipeg,Canada,캐나다,Winnipeg MB,49.90999985,-97.23989868
Cranbrook / Canadian Rockies International Airport,크랜브룩 캐나디안 록키 국제공항,YXC,CYXC,북미,America/Edmonton,Canada,캐나다,Cranbrook BC,49.6108017,-115.7819977
Saskatoon / John G. Diefenbaker International Airport,사스카툰 존 G. 디이픈베이커 국제공항,YXE,CYXE,북미,America/Regina,Canada,캐나다,Saskatoon SK,52.17079926,-106.6999969
Medicine Hat Airport,메디슨햇 공항,YXH,CYXH,북미,America/Edmonton,Canada,캐나다,Medicine Hat AB,50.01890182,-110.7210007
Prince George Airport,프린스죠지 공항,YXS,CYXS,북미,America/Vancouver,Canada,캐나다,Prince George BC,53.88940048,-122.6790009
London International Airport,런던 국제공항,YXU,CYXU,북미,America/Toronto,Canada,캐나다,London ON,43.035599,-81.1539
Abbotsford International Airport,애보트포드 국제공항,YXX,CYXX,북미,America/Vancouver,Canada,캐나다,AbbotsfordBC,49.02529907,-122.3610001
Erik Nielsen Whitehorse International Airport,에릭 닐슨 화이트호스 국제공항,YXY,CYXY,북미,America/Vancouver,Canada,캐나다,Whitehorse YT,60.70959854,-135.0670013
Calgary International Airport,캘거리 국제공항,YYC,CYYC,북미,America/Edmonton,Canada,캐나다,Calgary AB,51.11389923,-114.0199966
Charlottetown Airport,샬롯타운 공항,YYG,CYYG,북미,America/Halifax,Canada,캐나다,Charlottetown PE,46.29000092,-63.12110138
Victoria International Airport,빅토리아 국제공항,YYJ,CYYJ,북미,America/Vancouver,Canada,캐나다,Victoria BC,48.64690018,-123.4260025
St. Johns International Airport,산존스 공항,YYT,CYYT,북미,America/St_Johns,Canada,캐나다,St John NL,47.61859894,-52.75189972
Toronto Lester B. Pearson International Airport,피어슨 국제공항,YYZ,CYYZ,북미,America/Toronto,Canada,캐나다,Toronto ON,43.67720032,-79.63059998
Soummam Airport,수우맘 공항,BJA,DAAE,아프리카,Africa/Algiers,Algeria,알제리,Bejaia,36.7120018,5.069920063
Houari Boumediene Airport,훼리 부미딘 공항,ALG,DAAG,아프리카,Africa/Algiers,Algeria,알제리,Algiers,36.69100189,3.215409994
Tamanrasset Airport,타만라셋 공항,TMR,DAAT,아프리카,Africa/Algiers,Algeria,알제리,Tamanrasset,22.81150055,5.451079845
Jijel / Ferhat Abbas Airport,지젤 퍼헷 하버스 공항,GJL,DAAV,아프리카,Africa/Algiers,Algeria,알제리,Jijel,36.79510117,5.87361002
Mecheria Airport,메케리아 공항,MZW,DAAY,아프리카,Africa/Algiers,Algeria,알제리,Mechria,33.53590012,-0.2423530072
Les Salines Airport,레 살린 공항,AAE,DABB,아프리카,Africa/Algiers,Algeria,알제리,Annaba,36.822201,7.809174
Ain el Bey Airport,아인 엘 베이 공항,CZL,DABC,아프리카,Africa/Algiers,Algeria,알제리,Constantine,36.27600098,6.620389938
Tebessa Airport,테싸 공항,TEE,DABS,아프리카,Africa/Algiers,Algeria,알제리,Tbessa,35.43159866,8.12071991
Bouchekif Airport,부체키프 공항,TID,DAOB,아프리카,Africa/Algiers,Algeria,알제리,Tiaret,35.34109879,1.463150024
Tindouf Airport,틴도프 공항,TIN,DAOF,아프리카,Africa/Algiers,Algeria,알제리,Tindouf,27.7003994,-8.167099953
Chlef International Airport,클레프 국제공항,CFK,DAOI,아프리카,Africa/Algiers,Algeria,알제리,Chlef,36.21269989,1.331769943
Zenata Airport,제너타 공항,TLM,DAON,아프리카,Africa/Algiers,Algeria,알제리,Tlemcen,35.01670074,-1.450000048
Es Senia Airport,에 세니아 공항,ORN,DAOO,아프리카,Africa/Algiers,Algeria,알제리,Oran,35.62390137,-0.6211829782
Ghriss Airport,기리스 공항,MUW,DAOV,아프리카,Africa/Algiers,Algeria,알제리,Mascara,35.20769882,0.147141993
Touat Airport,투앗 공항,AZR,DAUA,아프리카,Africa/Algiers,Algeria,알제리,Adrar,27.83760071,-0.1864140034
Biskra Airport,비스크라 공항,BSK,DAUB,아프리카,Africa/Algiers,Algeria,알제리,Oumache,34.79330063,5.738230228
Oued Irara Airport,이라야 공항,HME,DAUH,아프리카,Africa/Algiers,Algeria,알제리,Hassi-Messaoud,31.67300034,6.140439987
Timimoun Airport,티미먼 공항,TMX,DAUT,아프리카,Africa/Algiers,Algeria,알제리,Timimoun,29.2371006,0.2760330141
Cadjehoun Airport,캐드훈 공항,COO,DBBB,아프리카,Africa/Porto-Novo,Benin,베냉,Cotonou,6.357230186,2.384350061
Ouagadougou Airport,와가두구 공항,OUA,DFFD,아프리카,Africa/Ouagadougou,Burkina Faso,부르키나 파소,Ouagadougou,12.3532,-1.51242
Borgo Airport,보르고 공항,BOY,DFOO,아프리카,Africa/Ouagadougou,Burkina Faso,부르키나 파소,Bobo Dioulasso,11.16009998,-4.33096981
Kotoka Airport,코타카 공항,ACC,DGAA,아프리카,Africa/Accra,Ghana,가나,Accra,5.6051898,-0.1667860001
Felix Houphouet Boigny Airport,펠릭스 우후에 보아니 공항,ABJ,DIAP,아프리카,Africa/Abidjan,Cote dIvoire,코트디부아르,Abidjan,5.261390209,-3.926290035
Abuja International Airport,아부자 국제공항,ABV,DNAA,아프리카,Africa/Lagos,Nigeria,나이지리아,Abuja,9.006790161,7.263169765
Akure Airport,아쿠레 공항,AKR,DNAK,아프리카,Africa/Lagos,Nigeria,나이지리아,Akure,7.246739864,5.301010132
Benin Airport,베닌 공항,BNI,DNBE,아프리카,Africa/Lagos,Nigeria,나이지리아,Benin,6.316979885,5.599500179
Magaret Ekpo International Airport,매그렛 익포 국제공항,CBQ,DNCA,아프리카,Africa/Lagos,Nigeria,나이지리아,Calabar,4.976019859,8.347200394
Akanu Ibiam International Airport,아쿠누 이비암 국제공항,ENU,DNEN,아프리카,Africa/Lagos,Nigeria,나이지리아,Enugu,6.474269867,7.56196022
Ibadan Airport,이바단 공항,IBA,DNIB,아프리카,Africa/Lagos,Nigeria,나이지리아,Ibadan,7.362460136,3.978329897
Ilorin International Airport,일로린 국제공항,ILR,DNIL,아프리카,Africa/Lagos,Nigeria,나이지리아,Ilorin,8.440210342,4.493919849
